ru,fog,packet_id,created_at_us,fronthaul_latency_us,end_to_end_latency_us
RU:0,Fog:0,0,0,132.2,204.39999999999998
RU:1,Fog:1,0,0,132.2,204.39999999999998
RU:2,Fog:2,0,0,132.2,204.39999999999998
RU:3,Fog:3,0,0,132.2,204.39999999999998
RU:0,Fog:0,1,14.4,132.2,204.39999999999998
RU:1,Fog:1,1,14.4,132.2,204.39999999999998
RU:2,Fog:2,1,14.4,132.2,204.39999999999998
RU:3,Fog:3,1,14.4,132.2,204.39999999999998
RU:0,Fog:0,2,28.8,132.2,204.39999999999998
RU:1,Fog:1,2,28.8,132.2,204.39999999999998
RU:2,Fog:2,2,28.8,132.2,204.39999999999998
RU:3,Fog:3,2,28.8,132.2,204.39999999999998
RU:0,Fog:0,3,43.2,132.2,204.39999999999998
RU:1,Fog:1,3,43.2,132.2,204.39999999999998
RU:2,Fog:2,3,43.2,132.2,204.39999999999998
RU:3,Fog:3,3,43.2,132.2,204.39999999999998
RU:0,Fog:0,4,57.6,132.20000000000002,204.4
RU:1,Fog:1,4,57.6,132.20000000000002,204.4
RU:2,Fog:2,4,57.6,132.20000000000002,204.4
RU:3,Fog:3,4,57.6,132.20000000000002,204.4
RU:0,Fog:0,5,72.0,132.2,204.39999999999998
RU:1,Fog:1,5,72.0,132.2,204.39999999999998
RU:2,Fog:2,5,72.0,132.2,204.39999999999998
RU:3,Fog:3,5,72.0,132.2,204.39999999999998
RU:0,Fog:0,6,86.4,132.20000000000002,204.4
RU:1,Fog:1,6,86.4,132.20000000000002,204.4
RU:2,Fog:2,6,86.4,132.20000000000002,204.4
RU:3,Fog:3,6,86.4,132.20000000000002,204.4
RU:0,Fog:0,7,100.80000000000001,132.2,204.39999999999998
RU:1,Fog:1,7,100.80000000000001,132.2,204.39999999999998
RU:2,Fog:2,7,100.80000000000001,132.2,204.39999999999998
RU:3,Fog:3,7,100.80000000000001,132.2,204.39999999999998
RU:0,Fog:0,8,115.20000000000002,132.20000000000002,204.4
RU:1,Fog:1,8,115.20000000000002,132.20000000000002,204.4
RU:2,Fog:2,8,115.20000000000002,132.20000000000002,204.4
RU:3,Fog:3,8,115.20000000000002,132.20000000000002,204.4
RU:0,Fog:0,9,129.60000000000002,132.2,204.39999999999998
RU:1,Fog:1,9,129.60000000000002,132.2,204.39999999999998
RU:2,Fog:2,9,129.60000000000002,132.2,204.39999999999998
RU:3,Fog:3,9,129.60000000000002,132.2,204.39999999999998
